Sl.No,Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term, Fine,Year
1,Tan Ah Kow,S1234567X,Singaporean,51,Male,10/01/2016-04/04/2016,Misappropriation,,35000,408,15,5000,Yes,Unemployed,0,12,6000,2016
2,Charles Goh ,G1234567T,Malaysian,37,Male,5/9/17,Misappropriation,4:00:00 PM,900,"406 , 34",7,100,No,Employed,0,3,100,2017
3,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1200,2019
4,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,No,Unemployed,5,1,500,2018
5,Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Unemployed,8,1,480,2018
6,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Employed,0,10,2160,2015
7,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,No,Employed,4,1,600,2017
8,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Unemployed,0,5,2000,2019
9,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840,2019
10,Charles Kow,S1234568K,Singaporean,38,Male,4/10/17,Misappropriation,,10000,408,15,1200,Yes,Unemployed,0,8,1440,2017
11,Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0,2012
12,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Employed,0,6,1000,2011
13,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3000,408,15,500,Yes,Unemployed,0,2,600,2013
14,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,No,Unemployed,4,1,1000,2015
15,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5000,408,15,800,Yes,Employed,0,5,960,2016
16,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,0.5,840,2019
17,Clement Lee,S4567895F,Singaporean,46,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Unemployed,5,1,900,2011
18,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,No,Employed,0,8,1100,2019
19,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,Yes,Unemployed,9,1,1080,2018
20,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,2000,Yes,Employed,0,7,2400,2018
21,Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,Yes,Employed,9,1,480,2018
22,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,No,Unemployed,0,10,1800,2015
23,Krishnan Savana,S8763456C,Malaysian,43,Male,23/4/17,Outrage Modesty,4:00:00 PM,,354(1),2,600,Yes,Unemployed,4,1,720,2017
24,Lem Ah Kin,S7654343W,Singaporean,55,Female,12/5/19,Misappropriation,,20000,"406 , 34",7,2000,No,Employed,0,5,2000,2019
25,Lim Swee Kai,S3456789B,Malaysian,46,Male,4/5/19,Outrage Modesty,,,354(1),2,700,Yes,Employed,5,1,840,2019
26,Charles Kow,S1234568K,Singaporean,38,Male,4/10/18,Misappropriation,,10050,408,15,1220,Yes,Unemployed,0,9,1464,2018
27,Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,9,1,0,2012
28,Katie Perry,G4599584W,American,28,Female,12/6/11,Misappropriation,,12000,"406 , 34",7,1000,No,Unemployed,0,6,1000,2011
29,Patrick Gow,G1234589T,Singaporean,67,Male,1/5/13,Misappropriation,,3100,408,15,500,Yes,Employed,0,2,600,2013
30,San Tan Wei,S7654322W,Malaysian,48,Male,2/4/15,Outrage Modesty,,,354(1),2,1000,Yes,Employed,4,1,1200,2015
31,Lem Ah Kim,S3456789C,Singaporean,38,Female,3/5/16,Misappropriation,,5200,408,15,800,No,Unemployed,0,5,800,2016
32,Randy Tao,S3456784C,Singaporean,29,Male,4/9/19,Outrage Modesty,,,354(1),2,700,Yes,Unemployed,5,0.5,840,2019
33,Clement Lee,S4567895F,Singaporean,45,Male,3/4/11,Outrage Modesty,,,354(1),2,900,No,Employed,4,1,900,2011
34,Katie Holmes ,G4599567B,American,29,Female,9/5/19,Misappropriation,,9000,408,15,1100,Yes,Employed,0,8,1320,2019
35,Derek Goh,S4599589C,Singaporean,34,Male,9/4/18,Outrage Modesty,,,354(1),2,900,No,Unemployed,9,1,900,2018
36,Heng Swee Goh,S4599598D,Singaporean,45,Male,9/5/18,Misappropriation,,12000,"406 , 34",7,3000,Yes,Employed,0,6,3600,2018
37,Lim Swee Noi,S7654321X,Singaporean,35,Female,7/4/19,Misappropriation,,3500.25,408,15,1000,Yes,Employed,0,5,1200,2019
38,Vincent Loh,S8763456B,Singaporean,44,Male,12/7/18,Outrage Modesty,4:00:00 PM,,354(1),2,500,No,Employed,5,1,500,2018
39,Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 PM,,354(1),2,400,No,Employed,9,1,400,2018
40,Venkatarman Saravana,S1234567R,Singaporean,28,Male,13/5/15,Misappropriation,6:00:00 PM,24000,408,15,1800,Yes,Unemployed,0,10,2160,2015
