Name,NRIC,Nationality,Age,Gender,Date(s) of Offence,Offence,Time of Offence,Monetary amount involved ,Statutory Provision,Penal Code Term Tenure,Penal Code Fine Guideline,Repeated Offender,Employment Status,Canning ,Jail term,Fine
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,9,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Unemployed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,7,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Unemployed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,9,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,No,Employed,8,1,0
Vincent Lee,G3499481W,Australian,43,Male,12/5/12,Outrage Modesty,,,354(1),2,0,Yes,Employed,8,1,0
Charles Goh ,G1234567T,Malaysian,37,Male,5/9/17,Misappropriation,4:00:00 pm,900,"406 , 34",7,100,No,Employed,0,3,0.1
Charles Goha,G1234568T,Singaporean,38,Male,5/9/18,Misappropriation,4:00:00 pm,800,"406 , 34",7,150,No,Unemployed,0,3,0.15
Charles Go,G1234569T,Malaysian,34,Male,5/9/19,Misappropriation,4:00:00 pm,920,"406 , 34",7,200,No,Employed,0,3,0.2
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Employed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Employed,9,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Employed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Employed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Unemployed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Employed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Unemployed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Employed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Unemployed,8,1,0.4
Charles Kia,G1234565T,Singaporean,38,Male,5/9/13,Misappropriation,4:00:00 pm,930,"406 , 34",7,400,No,Employed,0,3,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Employed,8,1,0.4
Tan Ser Kow,S4567899B,Malaysian,34,Male,12/6/18,Outrage Modesty,5:00:00 pm,,354(1),2,400,No,Unemployed,8,1,0.4
